prod_descricao;prod_marca;prod_price;prod_dataref;spo-temp;spo-umid;spo-uv;bra-temp;bra-umid;bra-uv;pve-temp;pve-umid;pve-uv;flo-temp;flo-umid;flo-uv;rj-temp;rj-umid;rj-uv;periodo_dia
Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g; Neutrogena;59.9;02/09/2024 07:50;18.1;83;7;15.2;59;7;24.2;83;1;14.3;94;4;23.1;69;7;manha
Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g; Neutrogena;61.9;08/09/2024 17:18;32.2;24;8;29.2;20;8;36.3;35;11;21.3;83;7;28.0;66;7;tarde
Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g; Neutrogena;59.9;26/08/2024 16:18;16.2;42;6;28.1;35;8;29.1;29;10;17.0;52;5;18.1;64;5;tarde
Hidratante Facial Neutrogena Hydro Boost Water Gel - 50g; Neutrogena;59.9;04/09/2024 07:32;18.2;88;8;14.4;59;8;25.3;89;7;16.4;88;6;21.4;88;7;manha
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;29.89;26/08/2024 09:55;11.3;71;5;18.1;73;7;21.3;43;7;12.1;62;5;17.2;88;5;manha
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;29.89;30/08/2024 08:40;20.1;60;8;20.0;56;7;25.4;79;8;19.1;83;7;20.3;88;7;manha
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;29.89;02/09/2024 20:37;17.1;83;1;25.0;24;1;29.0;62;1;16.2;82;1;22.1;83;1;noite
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;29.89;27/08/2024 18:17;12.1;71;1;28.3;35;7;32.4;34;10;15.0;72;1;19.0;64;1;noite
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;29.89;23/08/2024 15:07;32.4;17;9;31.1;22;9;38.4;29;11;16.1;82;5;34.1;34;9;tarde
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;29.89;26/08/2024 22:46;8.3;71;1;22.2;53;1;24.3;54;1;12.4;82;1;18.1;64;1;noite
Lenço Demaquilante NeutrogenaDeep Clean - 1 Un; Neutrogena;29.89;26/08/2024 22:46;11.2;71;5;22.0;57;7;22.2;57;7;13.4;77;6;19.4;60;6;noite
